,#JD,mag,error
0,,,6.8300065994262695
1,,,6.828951835632324
2,,,6.827967643737793
3,,,6.8270392417907715
4,,,6.827177047729492
5,,,6.826125621795654
6,,,6.8251142501831055
7,,,6.826113700866699
8,,,6.825709819793701
9,,,6.825881481170654
10,,,6.826139450073242
11,,,6.826126575469971
12,,,6.825284004211426
13,,,6.827045917510986
14,,,6.825679779052734
15,,,6.827976226806641
16,,,6.825936794281006
17,,,6.828388214111328
18,,,6.824337005615234
19,,,6.827742576599121
20,,,6.829392910003662
21,,,6.825070381164551
22,,,6.825927734375
23,,,6.829092025756836
24,,,6.828612327575684
25,,,6.828455448150635
26,,,6.827586650848389
27,,,6.827803611755371
28,,,6.828821659088135
29,,,6.829172611236572
30,,,6.829990386962891
31,,,6.832205295562744
32,,,6.832124710083008
33,,,6.8298563957214355
34,,,6.830963611602783
35,,,6.832025051116943
36,,,6.831697940826416
37,,,6.831747531890869
38,,,6.831775665283203
39,,,6.832302093505859
40,,,6.832496166229248
41,,,6.8334455490112305
42,,,6.834256172180176
43,,,6.8334150314331055
44,,,6.832869529724121
45,,,6.8348588943481445
46,,,6.834351539611816
47,,,6.8352460861206055
48,,,6.835853099822998
49,,,6.835397720336914
50,,,6.83621072769165
51,,,6.834794521331787
52,,,6.836569309234619
53,,,6.835466384887695
54,,,6.836506366729736
55,,,6.8360490798950195
56,,,6.837881088256836
57,,,6.836674213409424
58,,,6.83835506439209
59,,,6.837523937225342
60,,,6.837205410003662
61,,,6.836470603942871
62,,,6.837759971618652
63,,,6.837766647338867
64,,,6.8377485275268555
65,,,6.838302135467529
66,,,6.83887243270874
67,,,6.838233470916748
68,,,6.8387451171875
69,,,6.838664531707764
70,,,6.838471412658691
71,,,6.837531089782715
72,,,6.839046001434326
73,,,6.8392744064331055
74,,,6.8396315574646
75,,,6.839638710021973
76,,,6.840582370758057
77,,,6.839961528778076
78,,,6.840223789215088
79,,,6.840046405792236
80,,,6.841375350952148
81,,,6.839844226837158
82,,,6.840010643005371
83,,,6.84067440032959
84,,,6.840592384338379
85,,,6.8404364585876465
86,,,6.840940952301025
87,,,6.840813159942627
88,,,6.840614318847656
89,,,6.842627048492432
90,,,6.842412948608398
91,,,6.842101097106934
92,,,6.841818332672119
93,,,6.8415679931640625
94,,,6.841166973114014
95,,,6.841302871704102
96,,,6.8426618576049805
97,,,6.842346668243408
98,,,6.841689109802246
99,,,6.842026710510254
100,,,6.842077732086182
101,,,6.842620849609375
102,,,6.841875076293945
103,,,6.842533588409424
104,,,6.84325647354126
105,,,6.842162609100342
106,,,6.842586040496826
107,,,6.843006610870361
108,,,6.843231201171875
109,,,6.843563556671143
110,,,6.842621326446533
111,,,6.843338966369629
112,,,6.842404365539551
113,,,6.84399938583374
114,,,6.842349529266357
115,,,6.842012882232666
116,,,6.843132019042969
117,,,6.842910289764404
118,,,6.842426300048828
119,,,6.842614650726318
120,,,6.84368896484375
121,,,6.8422417640686035
122,,,6.842520713806152
123,,,6.842787742614746
124,,,6.843061447143555
125,,,6.842396259307861
126,,,6.8438029289245605
127,,,6.843743801116943
128,,,6.843267917633057
129,,,6.843919277191162
130,,,6.84368371963501
131,,,6.844175338745117
132,,,6.843798637390137
133,,,6.843910217285156
134,,,6.8437395095825195
135,,,6.843487739562988
136,,,6.844143867492676
137,,,6.8440351486206055
138,,,6.844679355621338
139,,,6.84398889541626
140,,,6.84446382522583
141,,,6.844686508178711
142,,,6.844940185546875
143,,,6.844780445098877
144,,,6.845276355743408
145,,,6.8445563316345215
146,,,6.84462833404541
147,,,6.8452911376953125
148,,,6.845821380615234
149,,,6.845546245574951
150,,,6.845950603485107
151,,,6.845292568206787
152,,,6.844919681549072
153,,,6.845890522003174
154,,,6.845209121704102
155,,,6.8455657958984375
156,,,6.8457512855529785
157,,,6.845733165740967
158,,,6.845854759216309
159,,,6.845249652862549
160,,,6.845481872558594
161,,,6.8462300300598145
162,,,6.845704555511475
163,,,6.846320152282715
164,,,6.846502304077148
165,,,6.847066879272461
166,,,6.84602165222168
167,,,6.846308708190918
168,,,6.845945358276367
169,,,6.84622049331665
170,,,6.8466925621032715
171,,,6.846741199493408
172,,,6.847195148468018
173,,,6.846537113189697
174,,,6.846864700317383
175,,,6.847270488739014
176,,,6.846460342407227
177,,,6.847877502441406
178,,,6.847761631011963
179,,,6.847365856170654
180,,,6.847079277038574
181,,,6.848179340362549
182,,,6.8484787940979
183,,,6.848779201507568
184,,,6.84882926940918
185,,,6.8483710289001465
186,,,6.848927021026611
187,,,6.849438667297363
188,,,6.849184513092041
189,,,6.848774433135986
190,,,6.849444389343262
191,,,6.849198341369629
192,,,6.848795413970947
193,,,6.8485188484191895
194,,,6.848711967468262
195,,,6.849451541900635
196,,,6.849756240844727
197,,,6.849620819091797
198,,,6.849311828613281
199,,,6.849618911743164
200,,,6.849225997924805
201,,,6.849487781524658
202,,,6.8486714363098145
203,,,6.8489670753479
204,,,6.8491668701171875
205,,,6.849425315856934
206,,,6.849493026733398
207,,,6.84935998916626
208,,,6.84909200668335
209,,,6.849179744720459
210,,,6.849868297576904
211,,,6.848852634429932
212,,,6.850902080535889
