JD,mag,error,Phase
,,,
0.0,,,0.0
1.0,,,0.2857142857142857
2.0,,,0.5714285714285714
3.0,,,0.8571428571428571
4.0,,,0.1428571428571428
5.0,,,0.4285714285714286
6.0,,,0.7142857142857142
7.0,,,0.0
8.0,,,0.2857142857142856
9.0,,,0.5714285714285716
10.0,,,0.8571428571428572
11.0,,,0.1428571428571428
12.0,,,0.4285714285714284
13.0,,,0.7142857142857144
14.0,,,0.0
15.0,,,0.2857142857142856
16.0,,,0.5714285714285712
17.0,,,0.8571428571428568
18.0,,,0.14285714285714324
19.0,,,0.4285714285714288
20.0,,,0.7142857142857144
21.0,,,0.0
22.0,,,0.2857142857142856
23.0,,,0.5714285714285712
24.0,,,0.8571428571428568
25.0,,,0.14285714285714324
26.0,,,0.4285714285714288
27.0,,,0.7142857142857144
28.0,,,0.0
29.0,,,0.2857142857142865
30.0,,,0.5714285714285712
31.0,,,0.8571428571428577
32.0,,,0.14285714285714235
33.0,,,0.4285714285714288
34.0,,,0.7142857142857135
35.0,,,0.0
36.0,,,0.2857142857142865
37.0,,,0.5714285714285712
38.0,,,0.8571428571428577
39.0,,,0.14285714285714235
40.0,,,0.4285714285714288
41.0,,,0.7142857142857135
42.0,,,0.0
43.0,,,0.2857142857142865
44.0,,,0.5714285714285712
45.0,,,0.8571428571428577
46.0,,,0.14285714285714235
47.0,,,0.4285714285714288
48.0,,,0.7142857142857135
49.0,,,0.0
50.0,,,0.2857142857142865
51.0,,,0.5714285714285712
52.0,,,0.8571428571428577
53.0,,,0.14285714285714235
54.0,,,0.4285714285714288
55.0,,,0.7142857142857135
56.0,,,0.0
57.0,,,0.2857142857142847
58.0,,,0.571428571428573
59.0,,,0.8571428571428577
60.0,,,0.14285714285714235
61.0,,,0.42857142857142705
62.0,,,0.7142857142857153
63.0,,,0.0
64.0,,,0.2857142857142847
65.0,,,0.571428571428573
66.0,,,0.8571428571428577
67.0,,,0.14285714285714235
68.0,,,0.42857142857142705
69.0,,,0.7142857142857153
70.0,,,0.0
71.0,,,0.2857142857142847
72.0,,,0.571428571428573
73.0,,,0.8571428571428577
74.0,,,0.14285714285714235
75.0,,,0.42857142857142705
76.0,,,0.7142857142857153
77.0,,,0.0
78.0,,,0.2857142857142847
79.0,,,0.571428571428573
80.0,,,0.8571428571428577
81.0,,,0.14285714285714235
82.0,,,0.42857142857142705
83.0,,,0.7142857142857153
84.0,,,0.0
85.0,,,0.2857142857142847
86.0,,,0.571428571428573
87.0,,,0.8571428571428577
88.0,,,0.14285714285714235
89.0,,,0.42857142857142705
90.0,,,0.7142857142857153
91.0,,,0.0
92.0,,,0.2857142857142847
93.0,,,0.571428571428573
